,City, City Code, NUTS 2, Country,Year,Unemployment_Rate
0,Amsterdam,NL002C1,NL32,NL,2012,30.6
1,Ankara,TR001C1,TR51,TR,2012,48.7
2,Antwerp,BE002C1,BE2,BE,2012,37.2
3,Athens,EL001C1,EL30,EL,2012,40.6
4,Barcelona,ES002C1,ES51,ES,2012,37.8
5,Valencia,ES003C1,ES51,ES,2012,37.8
6,Belfast,UK012C1,UKN0,UK,2012,36.2
7,Belgrade, -,RS11,RS,2012,36.2
8,Bergen,NO002C1,NO05,NO,2012,33.8
9,Berlin,DE001C1,DE30,DE,2012,35.8
10,Birmingham,UK002C1,UKG3,UK,2012,35.8
11,Bologna,IT009C1,ITH5,IT,2012,37.4
12,Brasov,RO504C1,RO12,RO,2012,40.7
13,Bratislava,SK001C1,SK01,SK,2012,41.9
14,Bristol,UK011C1,UKK1,UK,2012,36.1
15,Brno,CZ002C1,CZ06,CZ,2012,40.9
16,Brussels,BE001C1,BE1,BE,2012,37.0
17,Bucharest,RO001C1,RO32,RO,2012,40.6
18,Budapest,HU001C1,HU11,HU,2012,40.6
19,Bursa,TR005C1,TR41,TR,2012,49.9
20,Cambridge,UK017C1,UKH1,UK,2012,36.0
21,Cluj-Napoca,RO002C1,RO11,RO,2012,40.3
22,Cologne,DE004C1,DEA2,DE,2012,35.5
23,Constanta,RO501C1,RO22,RO,2012,40.7
24,Copenhagen,DK001C1,DK01,DK,2012,33.3
25,Cork,IE002C1,IE05,IE,2012,35.1
26,Dublin,IE001C1,IE06,IE,2012,35.2
27,Dusseldorf,DE011C1,DEA1,DE,2012,35.7
28,Edinburgh,UK007C1,UKM7,UK,2012,35.7
29,Eindhoven,NL005C1,NL41,NL,2012,30.5
30,Frankfurt,DE005C1,DE71,DE,2012,35.9
31,Gdansk,PL006C1,PL63,PL,2012,40.9
32,Geneva,CH002C1,CH01,CH,2012,35.5
33,Gent,BE003C1,BE23,BE,2012,37.4
34,Glasgow,UK004C1,UKM3,UK,2012,35.9
35,Gothenburg,SE002C1,SE23,SE,2012,36.2
36,Hamburg,DE002C1,DE60,DE,2012,36.4
37,Iasi,RO502C1,RO21,RO,2012,40.6
38,Istanbul,TR012C1,TR10,TR,2012,50.2
39,Izmir,TR013C1,TR31,TR,2012,47.5
40,Kaunas,LT002C1,LT02,LT,2012,47.5
41,Krakow (Cracow),PL003C1,PL2,PL,2012,40.1
42,Leeds,UK003C1,UKE4,UK,2012,36.4
43,Limassol,CY501C1,CY00,CY,2012,39.9
44,Lisbon,PT001C1,PT17,PT,2012,40.1
45,Ljubljana,SI001C1,SI04,SI,2012,39.8
46,London,UK001K2,UKI,UK,2012,37.9
47,Luxembourg,LU001C1,LU00,LU,2012,37.2
48,Lyon,FR003C2,FRK2,FR,2012,37.6
49,Madrid,ES001C1,ES30,ES,2012,38.8
50,Manchester,UK008C1,UKD3,UK,2012,36.0
51,Milan,IT002C1,ITC4,IT,2012,37.5
52,Munich,DE003L1,DE21,DE,2012,36.4
53,Nicosia,CY001C1,CY0,CY,2012,39.9
54,Oslo,NO001C1,NO01,NO,2012,34.4
