,City, City Code, NUTS 2, Country,Year,Education Attainment ED 0-2,Education Attainment ED 3-4,Education Attainment ED 5-8
0,Amsterdam,NL002C1,NL32,NL,2012,23.4,38.0,38.5
1,Ankara,TR001C1,TR51,TR,2012,52.4,22.1,25.5
2,Antwerp,BE002C1,BE2,BE,2012,26.1,38.5,35.4
3,Athens,EL001C1,EL30,EL,2012,22.5,44.1,33.4
4,Barcelona,ES002C1,ES51,ES,2012,44.9,22.3,32.8
5,Valencia,ES003C1,ES51,ES,2012,44.9,22.3,32.8
6,Belfast,UK012C1,UKN0,UK,2012,29.5,38.4,32.1
7,Belgrade, -,RS11,RS,2012,11.5,57.1,31.4
8,Bergen,NO002C1,NO05,NO,2012,17.1,46.2,36.6
9,Berlin,DE001C1,DE30,DE,2012,14.8,48.0,37.2
10,Birmingham,UK002C1,UKG3,UK,2012,30.5,39.5,30.0
11,Bologna,IT009C1,ITH5,IT,2012,37.8,44.3,17.9
12,Brasov,RO504C1,RO12,RO,2012,22.5,64.4,13.1
13,Bratislava,SK001C1,SK01,SK,2012,4.1,58.5,37.4
14,Bristol,UK011C1,UKK1,UK,2012,19.3,39.6,41.1
15,Brno,CZ002C1,CZ06,CZ,2012,5.6,73.6,20.8
16,Brussels,BE001C1,BE1,BE,2012,31.7,25.6,42.7
17,Bucharest,RO001C1,RO32,RO,2012,11.6,56.5,31.9
18,Budapest,HU001C1,HU11,HU,2012,8.0,51.7,40.4
19,Bursa,TR005C1,TR41,TR,2012,66.3,20.1,13.6
20,Cambridge,UK017C1,UKH1,UK,2012,21.3,42.1,36.7
21,Cluj-Napoca,RO002C1,RO11,RO,2012,25.1,61.2,13.7
22,Cologne,DE004C1,DEA2,DE,2012,17.7,53.5,28.8
23,Constanta,RO501C1,RO22,RO,2012,30.0,57.7,12.3
24,Copenhagen,DK001C1,DK01,DK,2012,17.9,36.0,46.1
25,Cork,IE002C1,IE05,IE,2012,25.8,36.9,37.3
26,Dublin,IE001C1,IE06,IE,2012,23.3,32.1,44.6
27,Dusseldorf,DE011C1,DEA1,DE,2012,18.4,56.7,24.9
28,Edinburgh,UK007C1,UKM7,UK,2012,17.4,34.4,48.2
29,Eindhoven,NL005C1,NL41,NL,2012,27.9,40.5,31.6
30,Frankfurt,DE005C1,DE71,DE,2012,14.0,53.8,32.2
31,Gdansk,PL006C1,PL63,PL,2012,11.5,62.6,25.9
32,Geneva,CH002C1,CH01,CH,2012,17.9,44.5,37.6
33,Gent,BE003C1,BE23,BE,2012,27.5,37.5,34.9
34,Glasgow,UK004C1,UKM3,UK,2012,24.0,36.4,39.6
35,Gothenburg,SE002C1,SE23,SE,2012,17.5,47.0,35.4
36,Hamburg,DE002C1,DE60,DE,2012,15.2,53.6,31.2
37,Iasi,RO502C1,RO21,RO,2012,29.8,57.6,12.6
38,Istanbul,TR012C1,TR10,TR,2012,62.4,19.4,18.1
39,Izmir,TR013C1,TR31,TR,2012,62.3,18.6,19.0
40,Kaunas,LT002C1,LT02,LT,2012,7.6,61.3,31.0
41,Krakow (Cracow),PL003C1,PL2,PL,2012,7.6,68.2,24.3
42,Leeds,UK003C1,UKE4,UK,2012,27.2,40.0,32.8
43,Limassol,CY501C1,CY00,CY,2012,22.6,38.2,39.3
44,Lisbon,PT001C1,PT17,PT,2012,51.5,23.5,24.9
45,Ljubljana,SI001C1,SI04,SI,2012,12.1,56.6,31.3
46,London,UK001K2,UKI,UK,2012,17.2,30.1,52.7
47,Luxembourg,LU001C1,LU00,LU,2012,21.7,39.2,39.1
48,Lyon,FR003C2,FRK2,FR,2012,25.2,42.5,32.3
49,Madrid,ES001C1,ES30,ES,2012,30.7,24.8,44.5
50,Manchester,UK008C1,UKD3,UK,2012,25.6,39.6,34.8
51,Milan,IT002C1,ITC4,IT,2012,40.1,43.5,16.5
52,Munich,DE003L1,DE21,DE,2012,10.4,53.2,36.4
53,Nicosia,CY001C1,CY0,CY,2012,22.6,38.2,39.3
54,Oslo,NO001C1,NO01,NO,2012,14.0,35.9,50.1
55,Paris,FR001C1,FR10,FR,2012,26.4,32.4,41.2
56,Porto,PT002C1,PT11,PT,2012,68.8,14.8,16.4
57,Poznan,PL005C1,PL41,PL,2012,9.1,68.5,22.4
58,Prague,CZ001C1,CZ01,CZ,2012,3.9,58.6,37.5
59,Reykjavik,IS001C1,IS00,IS,2012,29.0,35.8,35.2
60,Riga,LV001C1,LV00,LV,2012,10.9,59.9,29.2
61,Rome,IT001C1,ITI4,IT,2012,32.4,47.1,20.4
62,Rotterdam,NL003C1,NL33,NL,2012,27.4,38.8,33.8
63,The Hague (Den Haag),NL001C1,NL33,NL,2012,27.4,38.8,33.8
64,Seville (Sevilla),ES004C1,ES61,ES,2012,54.0,19.5,26.5
65,Sofia,BG001C1,BG41,BG,2012,8.7,58.3,33.0
66,Stockholm,SE001C1,SE11,SE,2012,14.9,40.7,44.4
67,Stuttgart,DE007C1,DE11,DE,2012,14.5,53.6,31.8
68,Tallinn,EE001C1,EE00,EE,2012,10.0,52.3,37.6
69,Thessaloniki,EL002C1,EL52,EL,2012,35.6,37.3,27.1
70,Timisoara,RO003C1,RO42,RO,2012,21.6,63.3,15.1
71,Trieste,IT015C1,ITH4,IT,2012,37.5,45.5,17.1
72,Trondheim,NO003C1,NO06,NO,2012,15.9,46.5,37.6
73,Turin,IT004C1,ITC1,IT,2012,42.2,42.6,15.2
74,Varna,BG003C1,BG33,BG,2012,25.5,52.0,22.5
75,Vienna,AT001C1,AT13,AT,2012,17.9,54.5,27.5
76,Vilnius,LT001C1,LT01,LT,2012,3.8,50.4,45.8
77,Warsaw,PL001C1,PL91,PL,2012,4.4,47.6,48.0
78,Wroclaw,PL004C1,PL51,PL,2012,10.6,65.7,23.7
79,Zagreb,HR001C1,HR04,HR,2012,21.9,60.5,17.6
80,Zurich,CH001C1,CH04,CH,2012,11.7,45.8,42.5
81,Amsterdam,NL002C1,NL32,NL,2013,21.0,39.8,39.2
82,Ankara,TR001C1,TR51,TR,2013,51.4,22.8,25.8
83,Antwerp,BE002C1,BE2,BE,2013,24.6,39.4,36.0
84,Athens,EL001C1,EL30,EL,2013,20.8,44.0,35.2
85,Barcelona,ES002C1,ES51,ES,2013,43.9,21.2,34.8
86,Valencia,ES003C1,ES51,ES,2013,43.9,21.2,34.8
87,Belfast,UK012C1,UKN0,UK,2013,29.8,37.7,32.5
88,Belgrade, -,RS11,RS,2013,11.5,57.1,31.4
89,Bergen,NO002C1,NO05,NO,2013,16.8,44.7,38.6
90,Berlin,DE001C1,DE30,DE,2013,15.1,47.9,36.9
91,Birmingham,UK002C1,UKG3,UK,2013,30.0,40.2,29.8
92,Bologna,IT009C1,ITH5,IT,2013,36.6,45.5,17.8
93,Brasov,RO504C1,RO12,RO,2013,22.0,63.8,14.3
94,Bratislava,SK001C1,SK01,SK,2013,4.9,57.7,37.5
95,Bristol,UK011C1,UKK1,UK,2013,19.7,39.5,40.8
96,Brno,CZ002C1,CZ06,CZ,2013,6.0,71.4,22.6
97,Brussels,BE001C1,BE1,BE,2013,32.4,26.1,41.5
98,Bucharest,RO001C1,RO32,RO,2013,11.6,55.3,33.1
99,Budapest,HU001C1,HU11,HU,2013,8.0,51.7,40.4
100,Bursa,TR005C1,TR41,TR,2013,63.9,20.9,15.2
101,Cambridge,UK017C1,UKH1,UK,2013,20.6,41.9,37.5
102,Cluj-Napoca,RO002C1,RO11,RO,2013,25.2,60.6,14.2
103,Cologne,DE004C1,DEA2,DE,2013,18.4,52.3,29.3
