,City, City Code, NUTS 2, Country,Year,Unemployment_Rate
0,Amsterdam,NL002C1,NL32,NL,2012,5.4
1,Ankara,TR001C1,TR51,TR,2012,8.3
2,Antwerp,BE002C1,BE2,BE,2012,4.5
3,Athens,EL001C1,EL30,EL,2012,25.8
4,Barcelona,ES002C1,ES51,ES,2012,22.5
5,Valencia,ES003C1,ES51,ES,2012,22.5
6,Belfast,UK012C1,UKN0,UK,2012,7.4
7,Belgrade, -,RS11,RS,2012,17.9
8,Bergen,NO002C1,NO05,NO,2012,2.9
9,Berlin,DE001C1,DE30,DE,2012,10.4
10,Birmingham,UK002C1,UKG3,UK,2012,11.7
11,Bologna,IT009C1,ITH5,IT,2012,7.0
12,Brasov,RO504C1,RO12,RO,2012,9.5
13,Bratislava,SK001C1,SK01,SK,2012,5.7
14,Bristol,UK011C1,UKK1,UK,2012,6.1
15,Brno,CZ002C1,CZ06,CZ,2012,7.6
16,Brussels,BE001C1,BE1,BE,2012,17.4
17,Bucharest,RO001C1,RO32,RO,2012,6.5
18,Budapest,HU001C1,HU11,HU,2012,8.5
19,Bursa,TR005C1,TR41,TR,2012,6.4
20,Cambridge,UK017C1,UKH1,UK,2012,6.4
21,Cluj-Napoca,RO002C1,RO11,RO,2012,4.6
22,Cologne,DE004C1,DEA2,DE,2012,5.4
23,Constanta,RO501C1,RO22,RO,2012,9.4
24,Copenhagen,DK001C1,DK01,DK,2012,8.4
25,Cork,IE002C1,IE05,IE,2012,16.6
26,Dublin,IE001C1,IE06,IE,2012,14.6
27,Dusseldorf,DE011C1,DEA1,DE,2012,6.5
28,Edinburgh,UK007C1,UKM7,UK,2012,7.5
29,Eindhoven,NL005C1,NL41,NL,2012,5.3
30,Frankfurt,DE005C1,DE71,DE,2012,4.8
31,Gdansk,PL006C1,PL63,PL,2012,9.6
32,Geneva,CH002C1,CH01,CH,2012,7.1
33,Gent,BE003C1,BE23,BE,2012,4.1
34,Glasgow,UK004C1,UKM3,UK,2012,9.2
35,Gothenburg,SE002C1,SE23,SE,2012,7.7
36,Hamburg,DE002C1,DE60,DE,2012,5.3
37,Iasi,RO502C1,RO21,RO,2012,4.2
38,Istanbul,TR012C1,TR10,TR,2012,10.7
39,Izmir,TR013C1,TR31,TR,2012,13.3
40,Kaunas,LT002C1,LT02,LT,2012,12.6
41,Krakow (Cracow),PL003C1,PL2,PL,2012,9.8
42,Leeds,UK003C1,UKE4,UK,2012,9.4
43,Limassol,CY501C1,CY00,CY,2012,11.9
44,Lisbon,PT001C1,PT17,PT,2012,17.7
45,Ljubljana,SI001C1,SI04,SI,2012,7.6
46,London,UK001K2,UKI,UK,2012,9.1
47,Luxembourg,LU001C1,LU00,LU,2012,5.1
48,Lyon,FR003C2,FRK2,FR,2012,8.1
49,Madrid,ES001C1,ES30,ES,2012,18.6
50,Manchester,UK008C1,UKD3,UK,2012,10.1
51,Milan,IT002C1,ITC4,IT,2012,7.4
52,Munich,DE003L1,DE21,DE,2012,2.7
53,Nicosia,CY001C1,CY0,CY,2012,11.9
54,Oslo,NO001C1,NO01,NO,2012,3.2
55,Paris,FR001C1,FR10,FR,2012,8.1
56,Porto,PT002C1,PT11,PT,2012,16.3
57,Poznan,PL005C1,PL41,PL,2012,8.5
58,Prague,CZ001C1,CZ01,CZ,2012,3.1
59,Reykjavik,IS001C1,IS00,IS,2012,6.0
60,Riga,LV001C1,LV00,LV,2012,15.0
61,Rome,IT001C1,ITI4,IT,2012,10.6
62,Rotterdam,NL003C1,NL33,NL,2012,6.9
63,The Hague (Den Haag),NL001C1,NL33,NL,2012,6.9
64,Seville (Sevilla),ES004C1,ES61,ES,2012,34.4
65,Sofia,BG001C1,BG41,BG,2012,8.2
66,Stockholm,SE001C1,SE11,SE,2012,6.8
67,Stuttgart,DE007C1,DE11,DE,2012,3.4
68,Tallinn,EE001C1,EE00,EE,2012,10.0
69,Thessaloniki,EL002C1,EL52,EL,2012,26.2
70,Timisoara,RO003C1,RO42,RO,2012,5.1
71,Trieste,IT015C1,ITH4,IT,2012,6.8
72,Trondheim,NO003C1,NO06,NO,2012,3.3
73,Turin,IT004C1,ITC1,IT,2012,9.2
74,Varna,BG003C1,BG33,BG,2012,18.3
75,Vienna,AT001C1,AT13,AT,2012,8.9
76,Vilnius,LT001C1,LT01,LT,2012,9.7
77,Warsaw,PL001C1,PL91,PL,2012,6.0
78,Wroclaw,PL004C1,PL51,PL,2012,11.1
79,Zagreb,HR001C1,HR04,HR,2012,16.6
