,City, City Code, NUTS 2, Country,Year,Unemployment_Rate
0,Amsterdam,NL002C1,NL32,NL,2012,33.0
1,Ankara,TR001C1,TR51,TR,2012,42.0
2,Antwerp,BE002C1,BE2,BE,2012,60.0
3,Athens,EL001C1,EL30,EL,2012,59.0
4,Barcelona,ES002C1,ES51,ES,2012,45.0
5,Valencia,ES003C1,ES51,ES,2012,45.0
6,Belfast,UK012C1,UKN0,UK,2012,26.0
7,Bergen,NO002C1,NO05,NO,2012,29.0
8,Berlin,DE001C1,DE30,DE,2012,13.0
9,Birmingham,UK002C1,UKG3,UK,2012,21.0
10,Bologna,IT009C1,ITH5,IT,2012,88.0
11,Brasov,RO504C1,RO12,RO,2012,105.0
12,Bratislava,SK001C1,SK01,SK,2012,46.0
13,Bristol,UK011C1,UKK1,UK,2012,33.0
14,Brno,CZ002C1,CZ06,CZ,2012,61.0
15,Brussels,BE001C1,BE1,BE,2012,32.0
16,Bucharest,RO001C1,RO32,RO,2012,63.0
17,Budapest,HU001C1,HU11,HU,2012,
18,Bursa,TR005C1,TR41,TR,2012,40.0
19,Cambridge,UK017C1,UKH1,UK,2012,39.0
20,Cluj-Napoca,RO002C1,RO11,RO,2012,86.0
21,Cologne,DE004C1,DEA2,DE,2012,34.0
22,Constanta,RO501C1,RO22,RO,2012,124.0
23,Copenhagen,DK001C1,DK01,DK,2012,20.0
24,Cork,IE002C1,IE05,IE,2012,
25,Dublin,IE001C1,IE06,IE,2012,
26,Dusseldorf,DE011C1,DEA1,DE,2012,23.0
27,Eindhoven,NL005C1,NL41,NL,2012,43.0
28,Frankfurt,DE005C1,DE71,DE,2012,32.0
29,Gdansk,PL006C1,PL63,PL,2012,79.0
30,Geneva,CH002C1,CH01,CH,2012,63.0
31,Gent,BE003C1,BE23,BE,2012,70.0
32,Gothenburg,SE002C1,SE23,SE,2012,26.0
33,Hamburg,DE002C1,DE60,DE,2012,19.0
34,Iasi,RO502C1,RO21,RO,2012,101.0
35,Istanbul,TR012C1,TR10,TR,2012,18.0
36,Izmir,TR013C1,TR31,TR,2012,40.0
37,Kaunas,LT002C1,LT02,LT,2012,
38,Krakow (Cracow),PL003C1,PL2,PL,2012,75.0
39,Leeds,UK003C1,UKE4,UK,2012,22.0
40,Limassol,CY501C1,CY00,CY,2012,59.0
41,Lisbon,PT001C1,PT17,PT,2012,38.0
42,Ljubljana,SI001C1,SI04,SI,2012,
43,London,UK001K2,UKI,UK,2012,16.0
44,Luxembourg,LU001C1,LU00,LU,2012,65.0
45,Lyon,FR003C2,FRK2,FR,2012,55.0
46,Madrid,ES001C1,ES30,ES,2012,21.0
47,Manchester,UK008C1,UKD3,UK,2012,18.0
48,Milan,IT002C1,ITC4,IT,2012,57.0
49,Munich,DE003L1,DE21,DE,2012,47.0
50,Nicosia,CY001C1,CY0,CY,2012,59.0
51,Oslo,NO001C1,NO01,NO,2012,17.0
52,Paris,FR001C1,FR10,FR,2012,27.0
53,Porto,PT002C1,PT11,PT,2012,64.0
54,Poznan,PL005C1,PL41,PL,2012,92.0
55,Prague,CZ001C1,CZ01,CZ,2012,24.0
56,Riga,LV001C1,LV00,LV,2012,87.0
57,Rome,IT001C1,ITI4,IT,2012,70.0
58,Rotterdam,NL003C1,NL33,NL,2012,27.0
59,The Hague (Den Haag),NL001C1,NL33,NL,2012,27.0
60,Seville (Sevilla),ES004C1,ES61,ES,2012,35.0
61,Sofia,BG001C1,BG41,BG,2012,65.0
62,Stockholm,SE001C1,SE11,SE,2012,15.0
63,Stuttgart,DE007C1,DE11,DE,2012,39.0
64,Tallinn,EE001C1,EE00,EE,2012,66.0
65,Thessaloniki,EL002C1,EL52,EL,2012,85.0
66,Timisoara,RO003C1,RO42,RO,2012,118.0
67,Trieste,IT015C1,ITH4,IT,2012,70.0
68,Trondheim,NO003C1,NO06,NO,2012,19.0
69,Turin,IT004C1,ITC1,IT,2012,66.0
70,Varna,BG003C1,BG33,BG,2012,81.0
71,Vienna,AT001C1,AT13,AT,2012,14.0
72,Vilnius,LT001C1,LT01,LT,2012,
73,Warsaw,PL001C1,PL91,PL,2012,
74,Wroclaw,PL004C1,PL51,PL,2012,83.0
75,Zagreb,HR001C1,HR04,HR,2012,80.0
76,Zurich,CH001C1,CH04,CH,2012,27.0
77,Amsterdam,NL002C1,NL32,NL,2013,26.0
78,Ankara,TR001C1,TR51,TR,2013,32.0
79,Antwerp,BE002C1,BE2,BE,2013,60.0
80,Athens,EL001C1,EL30,EL,2013,54.0
81,Barcelona,ES002C1,ES51,ES,2013,36.0
82,Valencia,ES003C1,ES51,ES,2013,36.0
83,Belfast,UK012C1,UKN0,UK,2013,31.0
84,Bergen,NO002C1,NO05,NO,2013,46.0
85,Berlin,DE001C1,DE30,DE,2013,11.0
86,Birmingham,UK002C1,UKG3,UK,2013,22.0
87,Bologna,IT009C1,ITH5,IT,2013,79.0
88,Brasov,RO504C1,RO12,RO,2013,87.0
89,Bratislava,SK001C1,SK01,SK,2013,29.0
90,Bristol,UK011C1,UKK1,UK,2013,37.0
91,Brno,CZ002C1,CZ06,CZ,2013,63.0
92,Brussels,BE001C1,BE1,BE,2013,21.0
93,Bucharest,RO001C1,RO32,RO,2013,59.0
94,Budapest,HU001C1,HU11,HU,2013,
95,Bursa,TR005C1,TR41,TR,2013,45.0
96,Cambridge,UK017C1,UKH1,UK,2013,42.0
97,Cluj-Napoca,RO002C1,RO11,RO,2013,90.0
98,Cologne,DE004C1,DEA2,DE,2013,27.0
99,Constanta,RO501C1,RO22,RO,2013,108.0
100,Copenhagen,DK001C1,DK01,DK,2013,14.0
