City, City Code, NUTS 2, Country,Year,Education Attainment ED 0-2,Education Attainment ED 3-4,Education Attainment ED 5-8,Deaths_in_road_accidents,Average Working Hours,Unemployment_Rate,E_Life_expextancy_at_birth,E_Med_Doctors_per_100000,Gender_Employment_Gap
Amsterdam,NL002C1,NL32,NL,2012,23.4,38.0,38.5,33.0,30.6,5.4,81.2,433.37,9.6
Ankara,TR001C1,TR51,TR,2012,52.4,22.1,25.5,42.0,48.7,8.3,78.8,309.69,47.8
Antwerp,BE002C1,BE2,BE,2012,26.1,38.5,35.4,60.0,37.2,4.5,81.1,243.72,13.1
Athens,EL001C1,EL30,EL,2012,22.5,44.1,33.4,59.0,40.6,25.8,80.6,742.9,15.7
Barcelona,ES002C1,ES51,ES,2012,44.9,22.3,32.8,45.0,37.8,22.5,82.8,396.55,7.4
Valencia,ES003C1,ES51,ES,2012,44.9,22.3,32.8,45.0,37.8,22.5,82.1,406.8,10.5
Belfast,UK012C1,UKN0,UK,2012,29.5,38.4,32.1,26.0,36.2,7.4,80.4,269.62,8.5
Belgrade, -,RS11,RS,2012,11.5,57.1,31.4,64.8,42.0,17.9,75.8,309.97,9.85
Bergen,NO002C1,NO05,NO,2012,17.1,46.2,36.6,29.0,33.8,2.9,82.2,412.86,4.9
Berlin,DE001C1,DE30,DE,2012,14.8,48.0,37.2,13.0,35.8,10.4,80.5,485.05,6.2
Birmingham,UK002C1,UKG3,UK,2012,30.5,39.5,30.0,21.0,35.8,11.7,80.9,269.62,12.7
Bologna,IT009C1,ITH5,IT,2012,37.8,44.3,17.9,88.0,37.4,7.0,82.9,407.58,13.7
Brasov,RO504C1,RO12,RO,2012,22.5,64.4,13.1,105.0,40.7,9.5,75.0,265.34,17.7
Bratislava,SK001C1,SK01,SK,2012,4.1,58.5,37.4,46.0,41.9,5.7,78.0,681.26,11.2
Bristol,UK011C1,UKK1,UK,2012,19.3,39.6,41.1,33.0,36.1,6.1,82.2,269.62,12.4
Brno,CZ002C1,CZ06,CZ,2012,5.6,73.6,20.8,61.0,40.9,7.6,77.0,343.75,17.4
Brussels,BE001C1,BE1,BE,2012,31.7,25.6,42.7,32.0,37.0,17.4,80.1,372.54,12.0
Bucharest,RO001C1,RO32,RO,2012,11.6,56.5,31.9,63.0,40.6,6.5,76.0,265.34,14.1
Budapest,HU001C1,HU11,HU,2012,8.0,51.7,40.4,29.0,39.7,8.5,77.5,540.74,10.1
Bursa,TR005C1,TR41,TR,2012,66.3,20.1,13.6,40.0,49.9,6.4,77.2,162.86,46.0
Cambridge,UK017C1,UKH1,UK,2012,21.3,42.1,36.7,39.0,36.0,6.4,82.1,269.62,10.1
Cluj-Napoca,RO002C1,RO11,RO,2012,25.1,61.2,13.7,86.0,40.3,4.6,75.0,350.04,13.8
Cologne,DE004C1,DEA2,DE,2012,17.7,53.5,28.8,34.0,35.5,5.4,80.7,397.82,11.8
Constanta,RO501C1,RO22,RO,2012,30.0,57.7,12.3,124.0,40.7,9.4,73.8,204.59,9.8
Copenhagen,DK001C1,DK01,DK,2012,17.9,36.0,46.1,20.0,33.3,8.4,80.0,453.25,4.9
